name,brand,model,battery_capacity_(mah),screen_size_(inches),touchscreen,resolution_x,resolution_y,processor,ram_(mb),internal_storage_(gb),rear_camera,front_camera,operating_system,wi-fi,bluetooth,gps,number_of_sims,3g,4g/_lte,price,price_ranges,screen_size_range,battery_capacity_range,rear_camera_range
Panasonic Eluga Ray 800,Panasonic,Eluga Ray 800,4000,5.5,Yes,1080,1920,8,4000,64.0,13.0,8.0,Android,Yes,Yes,No,2,Yes,Yes,77.86,<200€,5.0-6.0(inches),3500-4500(mah),0-24(mp)
Lava Z40,Lava,Z40,2250,4.0,Yes,400,800,4,1000,8.0,2.0,2.0,Android,Yes,Yes,Yes,2,Yes,Yes,41.99,<200€,3.0-4.0(inches),1010-2300(mah),0-24(mp)
Samsung Galaxy Fold,Samsung,Galaxy Fold,4380,7.3,Yes,1536,2152,8,12000,512.0,16.0,10.0,Android,Yes,Yes,Yes,2,Yes,Yes,1979.99,1000+€,6+(inches),3500-4500(mah),0-24(mp)
Gionee F205 Pro,Gionee,F205 Pro,3000,5.45,Yes,720,1440,4,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,1,No,No,53.86,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Tecno Camon iAce 2X,Tecno,Camon iAce 2X,3050,5.5,Yes,720,1440,4,3000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,70.79,<200€,5.0-6.0(inches),3000-3500(mah),0-24(mp)
Tecno Camon iAce 2,Tecno,Camon iAce 2,3050,5.5,Yes,720,1440,4,2000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,62.39,<200€,5.0-6.0(inches),3000-3500(mah),0-24(mp)
Coolpad Cool 3,Coolpad,Cool 3,3000,5.71,Yes,720,1520,8,3000,32.0,8.0,5.0,Android,Yes,Yes,No,2,No,No,55.79,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Vivo Y91,Vivo,Y91,4030,6.22,Yes,720,1520,8,2000,32.0,13.0,8.0,Android,Yes,Yes,No,2,Yes,Yes,100.19,<200€,6+(inches),3500-4500(mah),0-24(mp)
Itel A44 Air,Itel,A44 Air,2400,5.45,Yes,480,960,4,1000,8.0,5.0,2.0,Android,Yes,Yes,Yes,2,Yes,Yes,45.01,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Oppo R15 Pro,Oppo,R15 Pro,3400,6.28,Yes,1080,2280,8,6000,128.0,20.0,20.0,Android,Yes,Yes,Yes,2,Yes,Yes,171.59,<200€,6+(inches),3000-3500(mah),0-24(mp)
10.or G2,10.or,G2,5000,6.18,Yes,1080,2246,8,4000,64.0,16.0,12.0,Android,Yes,Yes,Yes,2,Yes,Yes,95.99,<200€,6+(inches),4500-6000(mah),0-24(mp)
Xolo Era 4X,Xolo,Era 4X,3000,5.45,Yes,720,1440,4,1000,16.0,8.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,47.99,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Micromax Infinity N11,Micromax,Infinity N11,4000,6.19,Yes,720,1500,8,2000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,70.79,<200€,6+(inches),3500-4500(mah),0-24(mp)
Tambo TA-3,Tambo,TA-3,2100,4.95,Yes,480,960,4,1000,16.0,5.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,45.48,<200€,4.0-5.0(inches),1010-2300(mah),0-24(mp)
Tambo TA-2,Tambo,TA-2,2500,5.0,Yes,480,854,8,1000,8.0,5.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,40.8,<200€,4.0-5.0(inches),2300-3000(mah),0-24(mp)
Meizu M6T,Meizu,M6T,3300,5.7,Yes,720,1440,8,3000,32.0,13.0,8.0,Android,Yes,Yes,No,2,Yes,Yes,107.99,<200€,5.0-6.0(inches),3000-3500(mah),0-24(mp)
Meizu C9,Meizu,C9,3000,5.45,Yes,720,1440,4,2000,16.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,42.47,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Motorola Moto G7 Power,Motorola,Moto G7 Power,5000,6.2,Yes,720,1520,8,3000,32.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,130.44,<200€,6+(inches),4500-6000(mah),0-24(mp)
Motorola Moto G7,Motorola,Moto G7,3000,6.2,Yes,1080,2270,8,4000,64.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,107.53,<200€,6+(inches),2300-3000(mah),0-24(mp)
Itel A44 Power,Itel,A44 Power,4000,5.45,Yes,480,960,4,1000,8.0,5.0,2.0,Android,Yes,Yes,Yes,2,Yes,Yes,47.88,<200€,5.0-6.0(inches),3500-4500(mah),0-24(mp)
Vivo Y95,Vivo,Y95,4030,6.22,Yes,720,1520,8,4000,64.0,13.0,20.0,Android,Yes,Yes,Yes,1,No,No,125.99,<200€,6+(inches),3500-4500(mah),0-24(mp)
Lava Z81,Lava,Z81,3000,5.7,Yes,720,1440,4,2000,16.0,13.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,83.99,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Vivo Y93,Vivo,Y93,4030,6.2,Yes,720,1580,8,3000,64.0,13.0,8.0,Android,Yes,Yes,Yes,1,No,No,119.4,<200€,6+(inches),3500-4500(mah),0-24(mp)
Micromax Bharat 5 Infinity Edition,Micromax,Bharat 5 Infinity Edition,5000,5.45,Yes,720,1440,4,1000,16.0,5.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,56.39,<200€,5.0-6.0(inches),4500-6000(mah),0-24(mp)
Micromax Spark Go,Micromax,Spark Go,2000,5.0,Yes,480,854,4,1000,8.0,5.0,2.0,Android,Yes,Yes,Yes,2,Yes,Yes,37.19,<200€,4.0-5.0(inches),1010-2300(mah),0-24(mp)
Panasonic Eluga Z1 Pro,Panasonic,Eluga Z1 Pro,4000,6.19,Yes,720,1500,8,4000,64.0,13.0,8.0,Android,Yes,Yes,No,2,Yes,Yes,101.88,<200€,6+(inches),3500-4500(mah),0-24(mp)
Panasonic Eluga Z1,Panasonic,Eluga Z1,4000,6.19,Yes,720,1500,8,3000,32.0,13.0,8.0,Android,Yes,Yes,No,2,Yes,Yes,83.88,<200€,6+(inches),3500-4500(mah),0-24(mp)
Panasonic Eluga Ray 530,Panasonic,Eluga Ray 530,3000,5.7,Yes,720,1440,4,3000,32.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,107.99,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Razer Phone 2,Razer,Phone 2,4000,5.72,Yes,1440,2560,8,8000,64.0,12.0,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,659.88,600-800€,5.0-6.0(inches),3500-4500(mah),0-24(mp)
iVoomi Z1,iVoomi,Z1,2800,5.67,Yes,720,1498,4,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,53.88,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Panasonic Eluga X1,Panasonic,Eluga X1,3000,6.18,Yes,1080,2246,8,4000,64.0,16.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,106.79,<200€,6+(inches),2300-3000(mah),0-24(mp)
Intex Staari 11,Intex,Staari 11,2400,5.0,Yes,720,1280,4,2000,16.0,8.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,83.99,<200€,4.0-5.0(inches),2300-3000(mah),0-24(mp)
iVoomi iPro,iVoomi,iPro,2000,4.95,Yes,480,960,4,1000,8.0,5.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,35.99,<200€,4.0-5.0(inches),1010-2300(mah),0-24(mp)
Vivo V11,Vivo,V11,3315,6.3,Yes,1080,2340,8,6000,64.0,16.0,25.0,Android,Yes,Yes,Yes,2,Yes,Yes,170.75,<200€,6+(inches),3000-3500(mah),0-24(mp)
Motorola One,Motorola,One,3000,5.9,Yes,720,1440,8,4000,64.0,13.0,8.0,Android,Yes,Yes,No,1,No,No,113.88,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
HTC U12 Life,HTC,U12 Life,3600,6.0,Yes,1080,2160,8,4000,64.0,16.0,13.0,Android,Yes,Yes,Yes,2,No,No,155.88,<200€,5.0-6.0(inches),3500-4500(mah),0-24(mp)
Yu Ace,Yu,Ace,4000,5.45,Yes,720,1440,4,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,No,Yes,47.99,<200€,5.0-6.0(inches),3500-4500(mah),0-24(mp)
Homtom H5,Homtom,H5,3300,5.5,Yes,720,1440,8,3000,32.0,16.0,8.0,Android,Yes,Yes,No,2,Yes,Yes,58.08,<200€,5.0-6.0(inches),3000-3500(mah),0-24(mp)
Homtom H3,Homtom,H3,3500,5.5,Yes,720,1440,8,3000,32.0,13.0,8.0,Android,Yes,Yes,No,2,Yes,Yes,58.8,<200€,5.0-6.0(inches),3000-3500(mah),0-24(mp)
Homtom H1,Homtom,H1,3000,5.5,Yes,640,1280,8,2000,16.0,13.0,8.0,Android,Yes,Yes,No,2,Yes,Yes,44.99,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Lava Z60s,Lava,Z60s,2500,5.0,Yes,720,1080,4,1000,16.0,5.0,5.0,Android,Yes,Yes,Yes,1,No,No,58.68,<200€,4.0-5.0(inches),2300-3000(mah),0-24(mp)
Itel A22 Pro,Itel,A22 Pro,2400,5.0,Yes,480,960,4,2000,16.0,5.0,2.0,Android,Yes,Yes,Yes,2,Yes,Yes,52.2,<200€,4.0-5.0(inches),2300-3000(mah),0-24(mp)
Itel A45,Itel,A45,2700,5.45,Yes,720,1440,4,1000,8.0,5.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,59.99,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Samsung Galaxy A8 Star,Samsung,Galaxy A8 Star,3700,6.28,Yes,1880,2220,8,6000,64.0,16.0,24.0,Android,Yes,Yes,Yes,2,No,No,249.6,200-400€,6+(inches),3500-4500(mah),0-24(mp)
Vivo Y83 Pro,Vivo,Y83 Pro,3260,6.22,Yes,720,1520,8,4000,64.0,13.0,8.0,Android,Yes,Yes,Yes,1,No,No,167.4,<200€,6+(inches),3000-3500(mah),0-24(mp)
Tecno Camon iSky 2,Tecno,Camon iSky 2,3050,5.5,Yes,720,1440,4,2000,16.0,13.0,13.0,Android,Yes,Yes,No,2,Yes,Yes,70.79,<200€,5.0-6.0(inches),3000-3500(mah),0-24(mp)
Tecno Camon iACE,Tecno,Camon iACE,3050,5.5,Yes,720,1440,4,2000,16.0,13.0,8.0,Android,Yes,Yes,No,2,Yes,Yes,55.19,<200€,5.0-6.0(inches),3000-3500(mah),0-24(mp)
Oppo R17,Oppo,R17,3500,6.4,Yes,1080,2280,8,8000,128.0,16.0,25.0,Android,Yes,Yes,Yes,1,No,No,215.88,200-400€,6+(inches),3000-3500(mah),0-24(mp)
Meizu 16,Meizu,16,3010,6.0,Yes,1080,2160,8,6000,64.0,12.0,20.0,Android,Yes,Yes,Yes,2,Yes,Yes,233.88,200-400€,5.0-6.0(inches),3000-3500(mah),0-24(mp)
BlackBerry Evolve,BlackBerry,Evolve,4000,5.99,Yes,1080,2160,8,4000,64.0,13.0,16.0,Android,Yes,Yes,Yes,1,No,No,167.99,<200€,5.0-6.0(inches),3500-4500(mah),0-24(mp)
Samsung Galaxy On8 (2018),Samsung,Galaxy On8 (2018),3500,6.0,Yes,720,1480,8,4000,64.0,16.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,239.88,200-400€,5.0-6.0(inches),3000-3500(mah),0-24(mp)
Tecno Camon iTwin,Tecno,Camon iTwin,4000,6.0,Yes,720,1440,4,3000,32.0,13.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,107.88,<200€,5.0-6.0(inches),3500-4500(mah),0-24(mp)
Vivo Y71i,Vivo,Y71i,3285,6.0,Yes,720,1440,4,2000,16.0,8.0,5.0,Android,No,Yes,No,1,No,No,90.0,<200€,5.0-6.0(inches),3000-3500(mah),0-24(mp)
Alcatel 5V,Alcatel,5V,4000,6.2,Yes,720,1500,8,3000,32.0,12.0,8.0,Android,Yes,Yes,Yes,1,No,No,155.99,<200€,6+(inches),3500-4500(mah),0-24(mp)
Intex Infie 33,Intex,Infie 33,3000,5.34,Yes,480,960,4,1000,8.0,5.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,41.99,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Intex Infie 3,Intex,Infie 3,2000,4.95,Yes,480,960,4,1000,8.0,5.0,2.0,Android,Yes,Yes,Yes,2,Yes,Yes,41.4,<200€,4.0-5.0(inches),1010-2300(mah),0-24(mp)
Oppo A3s,Oppo,A3s,4230,6.2,Yes,720,1520,8,2000,16.0,13.0,8.0,Android,Yes,Yes,Yes,1,No,No,89.4,<200€,6+(inches),3500-4500(mah),0-24(mp)
Oppo A5,Oppo,A5,4230,6.2,Yes,720,1520,8,4000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,107.88,<200€,6+(inches),3500-4500(mah),0-24(mp)
Vivo Z10,Vivo,Z10,3225,6.0,Yes,720,1440,8,4000,32.0,16.0,24.0,Android,Yes,Yes,Yes,1,No,No,95.93,<200€,5.0-6.0(inches),3000-3500(mah),0-24(mp)
Samsung Galaxy On6,Samsung,Galaxy On6,3000,5.6,Yes,720,1480,8,4000,64.0,13.0,8.0,Android,Yes,Yes,No,2,Yes,Yes,211.2,200-400€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Alcatel 1,Alcatel,1,2000,5.0,Yes,480,960,4,1000,8.0,5.0,2.0,Android,Yes,Yes,Yes,1,Yes,Yes,41.99,<200€,4.0-5.0(inches),1010-2300(mah),0-24(mp)
Vivo Y81,Vivo,Y81,3260,6.22,Yes,720,1520,8,3000,32.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,117.48,<200€,6+(inches),3000-3500(mah),0-24(mp)
Panasonic P90,Panasonic,P90,2400,5.0,Yes,720,1280,4,1000,16.0,5.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,46.79,<200€,4.0-5.0(inches),2300-3000(mah),0-24(mp)
Lephone Dazen 6A,Lephone,Dazen 6A,3000,5.7,Yes,720,1440,4,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,1,No,No,94.8,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Comio C1 Pro,Comio,C1 Pro,2500,5.0,Yes,720,1440,4,1000,16.0,8.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,77.99,<200€,4.0-5.0(inches),2300-3000(mah),0-24(mp)
iVoomi V5,iVoomi,V5,2800,5.0,Yes,480,854,4,1000,8.0,5.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,35.99,<200€,4.0-5.0(inches),2300-3000(mah),0-24(mp)
LG Q Stylus+,LG,Q Stylus+,3300,6.2,Yes,1080,2160,8,4000,64.0,16.0,5.0,Android,Yes,Yes,Yes,1,No,No,203.99,200-400€,6+(inches),3000-3500(mah),0-24(mp)
LG Q Stylus,LG,Q Stylus,3300,6.2,Yes,1080,2160,8,3000,32.0,16.0,5.0,Android,Yes,Yes,Yes,1,No,No,179.99,<200€,6+(inches),3000-3500(mah),0-24(mp)
Lenovo A5,Lenovo,A5,4000,5.45,Yes,720,1440,4,2000,16.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,63.6,<200€,5.0-6.0(inches),3500-4500(mah),0-24(mp)
Nokia 3.1,Nokia,3.1,2990,5.2,Yes,720,1440,8,2000,16.0,13.0,8.0,Android,Yes,Yes,Yes,1,No,No,71.93,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Aqua Jazz,Aqua,Jazz,2800,5.0,Yes,720,1280,4,1000,16.0,13.0,5.0,Android,Yes,Yes,No,1,No,No,55.19,<200€,4.0-5.0(inches),2300-3000(mah),0-24(mp)
Vivo Y83,Vivo,Y83,3260,6.22,Yes,720,1520,8,4000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,124.79,<200€,6+(inches),3000-3500(mah),0-24(mp)
BlackBerry KEY2,BlackBerry,KEY2,3500,4.5,Yes,1080,1620,8,4000,64.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,239.93,200-400€,4.0-5.0(inches),3000-3500(mah),0-24(mp)
Mobiistar CQ,Mobiistar,CQ,3000,5.0,Yes,720,1280,4,2000,16.0,8.0,13.0,Android,Yes,Yes,No,2,Yes,Yes,51.53,<200€,4.0-5.0(inches),2300-3000(mah),0-24(mp)
Micromax Bharat Go,Micromax,Bharat Go,2000,4.5,Yes,480,854,4,1000,8.0,5.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,45.47,<200€,4.0-5.0(inches),1010-2300(mah),0-24(mp)
iVoomi i2,iVoomi,i2,4000,5.45,Yes,720,1440,4,3000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,No,Yes,51.59,<200€,5.0-6.0(inches),3500-4500(mah),0-24(mp)
LG Q7+,LG,Q7+,3000,5.5,Yes,1080,2160,8,4000,64.0,16.0,5.0,Android,Yes,Yes,Yes,1,No,No,142.19,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
LG Q7,LG,Q7,3000,5.5,Yes,1080,2160,8,3000,32.0,13.0,8.0,Android,Yes,Yes,Yes,1,No,No,106.5,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
HTC U12+,HTC,U12+,3500,6.0,Yes,1440,2880,8,6000,64.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,899.88,800-1000€,5.0-6.0(inches),3000-3500(mah),0-24(mp)
Nokia X6,Nokia,X6,3060,5.8,Yes,1080,2280,8,4000,32.0,16.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,83.99,<200€,5.0-6.0(inches),3000-3500(mah),0-24(mp)
Kult Impulse,Kult,Impulse,4000,5.99,Yes,720,1440,4,3000,32.0,13.0,13.0,Android,Yes,Yes,Yes,2,No,No,52.54,<200€,5.0-6.0(inches),3500-4500(mah),0-24(mp)
Samsung Galaxy J4,Samsung,Galaxy J4,3000,5.5,Yes,720,1280,4,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,83.09,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Karbonn Frames S9,Karbonn,Frames S9,2900,5.2,Yes,720,1280,4,2000,16.0,8.0,8.0,Android,Yes,Yes,Yes,2,No,No,83.99,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Intex Staari 10,Intex,Staari 10,2800,5.2,Yes,720,1280,4,3000,32.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,59.99,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Panasonic P95,Panasonic,P95,2300,5.0,Yes,720,1280,4,1000,16.0,8.0,5.0,Android,Yes,Yes,Yes,2,No,No,44.1,<200€,4.0-5.0(inches),1010-2300(mah),0-24(mp)
LG G7 ThinQ,LG,G7 ThinQ,3000,6.1,Yes,1440,3120,8,4000,64.0,16.0,8.0,Android,Yes,Yes,Yes,2,No,No,431.99,400-600€,6+(inches),2300-3000(mah),0-24(mp)
Samsung Galaxy A6,Samsung,Galaxy A6,3000,5.6,Yes,720,1480,8,4000,32.0,16.0,16.0,Android,Yes,Yes,Yes,1,No,No,155.99,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Samsung Galaxy J2 (2018),Samsung,Galaxy J2 (2018),2600,5.0,Yes,540,960,4,2000,16.0,8.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,81.59,<200€,4.0-5.0(inches),2300-3000(mah),0-24(mp)
Vivo Y53i,Vivo,Y53i,2500,5.0,Yes,540,960,4,2000,16.0,8.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,92.47,<200€,4.0-5.0(inches),2300-3000(mah),0-24(mp)
Vivo V9 Youth,Vivo,V9 Youth,3260,6.3,Yes,1080,2280,8,4000,32.0,16.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,107.88,<200€,6+(inches),3000-3500(mah),0-24(mp)
Moto E5,Motorola,Moto E5,4000,5.7,Yes,720,1440,4,2000,16.0,13.0,5.0,Android,Yes,Yes,No,2,Yes,Yes,95.4,<200€,5.0-6.0(inches),3500-4500(mah),0-24(mp)
Vivo Y71,Vivo,Y71,3360,6.0,Yes,720,1440,4,3000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,102.0,<200€,5.0-6.0(inches),3000-3500(mah),0-24(mp)
Coolpad A1,Coolpad,A1,2500,5.0,Yes,720,1280,4,2000,16.0,8.0,5.0,Android,Yes,Yes,No,1,No,No,55.08,<200€,4.0-5.0(inches),2300-3000(mah),0-24(mp)
Samsung Galaxy J7 Duo,Samsung,Galaxy J7 Duo,3000,5.5,Yes,720,1280,8,4000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,No,No,127.68,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Honor 7A,Honor,7A,3000,5.7,Yes,720,1440,8,2000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,83.99,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Lava Z91,Lava,Z91,3000,5.7,Yes,720,1440,4,2000,16.0,13.0,8.0,Android,No,No,No,2,No,No,95.99,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Oppo A83 (2018),Oppo,A83 (2018),3180,5.7,Yes,720,1440,8,2000,16.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,113.88,<200€,5.0-6.0(inches),3000-3500(mah),0-24(mp)
LG K9,LG,K9,2500,5.0,Yes,720,1280,4,2000,16.0,8.0,5.0,Android,Yes,Yes,No,2,Yes,Yes,75.59,<200€,4.0-5.0(inches),2300-3000(mah),0-24(mp)
Samsung Galaxy J7 Prime 2,Samsung,Galaxy J7 Prime 2,3300,5.5,Yes,1080,1920,8,3000,32.0,13.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,126.0,<200€,5.0-6.0(inches),3000-3500(mah),0-24(mp)
Intex Aqua Lions E3,Intex,Aqua Lions E3,2500,5.0,Yes,720,1280,4,2000,16.0,8.0,5.0,Android,Yes,Yes,Yes,2,No,No,47.99,<200€,4.0-5.0(inches),2300-3000(mah),0-24(mp)
Itel A44 Pro,Itel,A44 Pro,2400,5.45,Yes,720,1440,4,2000,16.0,8.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,46.68,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Itel A44,Itel,A44,2400,5.45,Yes,480,960,4,1000,8.0,5.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,79.2,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Moto G6 Plus,Motorola,Moto G6 Plus,3200,5.93,Yes,1080,2160,8,4000,64.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,154.8,<200€,5.0-6.0(inches),3000-3500(mah),0-24(mp)
Lava Z50,Lava,Z50,2000,4.5,Yes,480,854,4,1000,8.0,5.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,54.48,<200€,4.0-5.0(inches),1010-2300(mah),0-24(mp)
Sony Xperia XZ2,Sony,Xperia XZ2,3180,5.7,Yes,1080,2160,8,4000,64.0,19.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,694.8,600-800€,5.0-6.0(inches),3000-3500(mah),0-24(mp)
Nokia 8110 4G,Nokia,8110 4G,1500,2.45,No,240,320,2,512,4.0,2.0,0.0,Cyanogen,Yes,Yes,Yes,2,Yes,Yes,35.99,<200€,2.3-3.0(inches),1010-2300(mah),0-24(mp)
Alcatel 3V,Alcatel,3V,3000,6.0,Yes,1080,2160,4,3000,32.0,16.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,131.99,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Alcatel 3X,Alcatel,3X,3000,5.7,Yes,720,1440,4,3000,32.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,119.99,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Cat S61,Cat,S61,4500,5.2,Yes,1080,1920,8,4000,64.0,16.0,8.0,Android,Yes,Yes,No,1,No,No,814.8,800-1000€,5.0-6.0(inches),3500-4500(mah),0-24(mp)
Karbonn Titanium Jumbo 2,Karbonn,Titanium Jumbo 2,4000,5.5,Yes,720,1280,4,2000,16.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,98.71,<200€,5.0-6.0(inches),3500-4500(mah),0-24(mp)
Celkon UniQ,Celkon,UniQ,2700,5.0,Yes,720,1280,4,3000,32.0,16.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,86.99,<200€,4.0-5.0(inches),2300-3000(mah),0-24(mp)
Comio C2 Lite,Comio,C2 Lite,3900,5.0,Yes,720,1280,4,1000,16.0,8.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,71.99,<200€,4.0-5.0(inches),3500-4500(mah),0-24(mp)
Comio S1 Lite,Comio,S1 Lite,3050,5.0,Yes,720,1280,4,2000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,64.79,<200€,4.0-5.0(inches),3000-3500(mah),0-24(mp)
Ziox Duopix F9,Ziox,Duopix F9,2500,5.0,Yes,720,1280,4,1000,16.0,8.0,8.0,Android,Yes,Yes,Yes,1,No,No,43.19,<200€,4.0-5.0(inches),2300-3000(mah),0-24(mp)
Intex Aqua Lions T1 Lite,Intex,Aqua Lions T1 Lite,2200,5.0,Yes,720,1280,4,1000,8.0,5.0,2.0,Android,Yes,Yes,Yes,1,No,No,45.59,<200€,4.0-5.0(inches),1010-2300(mah),0-24(mp)
Panasonic P100,Panasonic,P100,2200,5.0,Yes,720,1280,4,1000,16.0,8.0,5.0,Android,Yes,Yes,No,2,Yes,Yes,53.99,<200€,4.0-5.0(inches),1010-2300(mah),0-24(mp)
InFocus A2,InFocus,A2,2400,5.0,Yes,720,1280,4,1000,8.0,5.0,5.0,Android,Yes,Yes,Yes,1,No,No,46.79,<200€,4.0-5.0(inches),2300-3000(mah),0-24(mp)
Oppo A71 (2018),Oppo,A71 (2018),3000,5.2,Yes,720,1280,8,3000,16.0,13.0,5.0,Android,Yes,Yes,No,2,Yes,Yes,95.99,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Vivo Y53,Vivo,Y53,2500,5.0,Yes,540,960,4,2000,16.0,8.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,101.88,<200€,4.0-5.0(inches),2300-3000(mah),0-24(mp)
Ziox Astra Star,Ziox,Astra Star,2350,5.0,Yes,480,854,4,1000,16.0,5.0,2.0,Android,Yes,Yes,Yes,2,Yes,Yes,45.59,<200€,4.0-5.0(inches),2300-3000(mah),0-24(mp)
HTC U11 EYEs,HTC,U11 EYEs,3930,6.0,Yes,1080,2160,8,4000,64.0,12.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,239.99,200-400€,5.0-6.0(inches),3500-4500(mah),0-24(mp)
Karbonn Titanium Frames S7,Karbonn,Titanium Frames S7,3000,5.5,Yes,1080,1920,4,3000,32.0,13.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,57.59,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
iVoomi i1s,iVoomi,i1s,3000,5.45,Yes,640,1280,4,3000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,59.99,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
